Date,Price,Open,High,Low,Vol.,Change %
1/25/2024,94.67,94.67,94.6725,94.67,13.28K,0.00%
1/24/2024,94.67,94.67,94.6725,94.67,6.69K,0.00%
1/23/2024,94.67,94.6725,94.6725,94.67,8.65K,0.00%
1/22/2024,94.67,94.6725,94.6725,94.67,1.86K,0.00%
1/19/2024,94.6725,94.67,94.6725,94.67,6.03K,0.00%
1/18/2024,94.6725,94.67,94.6725,94.67,2.05K,0.00%
1/17/2024,94.6725,94.67,94.6725,94.67,15.99K,0.00%
1/16/2024,94.6725,94.6725,94.6725,94.67,13.88K,0.00%
1/15/2024,94.67,94.6725,94.6725,94.67,1.52K,0.00%
1/12/2024,94.6725,94.67,94.6725,94.67,18.88K,0.00%
1/11/2024,94.67,94.67,94.6725,94.67,17.12K,0.00%
1/10/2024,94.67,94.6725,94.6725,94.67,5.44K,0.00%
1/9/2024,94.6725,94.6725,94.6725,94.67,14.90K,0.00%
1/8/2024,94.6725,94.67,94.6725,94.67,21.00K,0.00%
1/5/2024,94.67,94.6725,94.6725,94.67,38.67K,0.00%
1/4/2024,94.67,94.67,94.6725,94.67,71.84K,0.00%
1/3/2024,94.6725,94.6725,94.6725,94.67,40.20K,0.00%
1/2/2024,94.67,94.6725,94.6725,94.67,38.89K,0.00%
1/1/2024,94.6725,94.6725,94.6725,94.6725,,0.00%
12/29/2023,94.67,94.67,94.6725,94.67,13.65K,0.00%
12/28/2023,94.67,94.67,94.6725,94.67,23.38K,0.00%
12/27/2023,94.67,94.67,94.6725,94.67,38.93K,0.00%
12/26/2023,94.67,94.67,94.6725,94.67,6.57K,0.00%
12/22/2023,94.6725,94.67,94.6725,94.67,10.40K,0.00%
12/21/2023,94.67,94.67,94.6725,94.6675,8.47K,0.00%
12/20/2023,94.6675,94.67,94.67,94.6675,2.24K,0.00%
12/19/2023,94.6675,94.67,94.67,94.6675,1.42K,0.00%
12/18/2023,94.67,94.6675,94.6725,94.6675,17.11K,0.00%
12/17/2023,94.67,94.6675,94.67,94.6675,0.03K,0.00%
12/15/2023,94.6675,94.6675,94.67,94.6675,12.42K,0.00%
12/14/2023,94.67,94.67,94.6725,94.6675,32.57K,0.00%
12/13/2023,94.67,94.67,94.6725,94.6675,25.84K,0.00%
12/12/2023,94.6675,94.67,94.67,94.6675,9.68K,0.00%
12/11/2023,94.67,94.67,94.67,94.6675,5.53K,0.00%
12/8/2023,94.6675,94.6675,94.67,94.6675,5.43K,0.00%
12/7/2023,94.6675,94.6675,94.67,94.6675,21.22K,0.00%
12/6/2023,94.67,94.6675,94.67,94.665,26.02K,0.00%
12/5/2023,94.6675,94.6675,94.67,94.665,36.52K,0.00%
12/4/2023,94.67,94.6675,94.67,94.665,77.37K,0.00%
12/3/2023,94.67,94.6675,94.67,94.6675,1.03K,0.00%
12/1/2023,94.67,94.6675,94.67,94.665,39.30K,0.00%
11/30/2023,94.67,94.67,94.6725,94.6675,16.13K,0.00%
11/29/2023,94.67,94.67,94.6725,94.67,4.37K,0.00%
11/28/2023,94.67,94.67,94.6725,94.67,4.58K,0.00%
11/27/2023,94.67,94.67,94.6725,94.67,3.09K,0.00%
11/26/2023,94.67,94.67,94.67,94.67,,0.00%
11/24/2023,94.67,94.67,94.6725,94.67,2.41K,0.00%
11/23/2023,94.6725,94.67,94.6725,94.67,0.69K,0.00%
